2025-10-02 15:15:51,721 - WARNING - [ERR-0001] - [667655e0] Attempting to extract JSON from text (length: 20100 chars) | From: helpers.py:extract_json_from_text()
2025-10-02 15:15:51,727 - ERROR - [ERR-0001] - [d9de56a9] Failed to extract any valid JSON from text | From: helpers.py:extract_json_from_text()
2025-10-02 15:15:51,731 - ERROR - [ERR-0001] - [5d1fd535] Text preview: {
  "title": "Vix's VXX Faces Continued Decay Amidst Muted Volatility and Persistent Contango",
  "market_outlook_narrative": [
    "The iPath Series B S&P 500 VIX Short-Term Futures ETN (VXX) is an exchange-traded note designed to track the performance of a rolling portfolio of first and second-month VIX futures contracts. Unlike traditional equities, VXX does not represent ownership in a company but rather provides exposure to the implied volatility of the S&P 500 index. As of October 2, 2025,... | From: helpers.py:extract_json_from_text()
2025-10-02 15:15:51,732 - ERROR - [ERR-0001] - [7c4f4a20] Failed to extract valid JSON from AI response | From: holistic.py:run_holistic_market_model()
2025-10-02 15:15:51,732 - WARNING - [WARN-0002] - [a85a787b] Raw response content: {
  "title": "Vix's VXX Faces Continued Decay Amidst Muted Volatility and Persistent Contango",
  "market_outlook_narrative": [
    "The iPath Series B S&P 500 VIX Short-Term Futures ETN (VXX) is an exchange-traded note designed to track the performance of a rolling portfolio of first and second-month VIX futures contracts. Unlike traditional equities, VXX does not represent ownership in a company but rather provides exposure to the implied volatility of the S&P 500 index. As of October 2, 2025,... | From: holistic.py:run_holistic_market_model()
2025-10-02 15:18:32,912 - WARNING - [ERR-0001] - [a838f2fa] Attempting to extract JSON from text (length: 24245 chars) | From: helpers.py:extract_json_from_text()
2025-10-02 15:18:32,916 - WARNING - [ERR-0001] - [d19aaecc] JSON parsing failed for end object pattern: Expecting ',' delimiter: line 10 column 4464 (char 7241) | From: helpers.py:extract_json_from_text()
2025-10-02 15:18:32,919 - ERROR - [ERR-0404] - [50d835bf] Error in holistic_market_model | Exception: TypeError: 'int' object is not callable | From: holistic.py:run_holistic_market_model()
2025-10-02 15:21:22,484 - WARNING - [ERR-0001] - [dbe65596] Attempting to extract JSON from text (length: 26780 chars) | From: helpers.py:extract_json_from_text()
2025-10-02 15:21:22,487 - WARNING - [ERR-0001] - [011e3e1d] Successfully extracted JSON using end object pattern | From: helpers.py:extract_json_from_text()
2025-10-02 15:21:22,488 - INFO - [INFO] - Successfully parsed AI response as JSON
2025-10-02 15:21:23,694 - INFO - [INFO] - Updated document_generated flag to True for tickers: ['VXX']
2025-10-02 15:23:10,682 - WARNING - [ERR-0001] - [f162cba2] Attempting to extract JSON from text (length: 17920 chars) | From: helpers.py:extract_json_from_text()
2025-10-02 15:23:10,685 - WARNING - [ERR-0001] - [33aa3c69] Successfully extracted JSON using end object pattern | From: helpers.py:extract_json_from_text()
2025-10-02 15:23:10,689 - INFO - [INFO] - Successfully parsed AI response as JSON
2025-10-02 15:23:44,894 - INFO - [INFO] - Updated document_generated flag to True for tickers: ['SPXL']
